|                 wl |      k_tot |
|             5710.0 | -1.376e+01 |
|             5720.0 | -1.407e+01 |
|  5729.999999999999 | -1.438e+01 |
|             5740.0 | -1.470e+01 |
|             5750.0 | -1.502e+01 |
|             5760.0 | -1.534e+01 |
|  5769.999999999999 | -1.567e+01 |
|             5780.0 | -1.600e+01 |
|             5790.0 | -1.633e+01 |
|  5799.999999999999 | -1.666e+01 |
|             5810.0 | -1.699e+01 |
|             5820.0 | -1.733e+01 |
|             5830.0 | -1.767e+01 |
|             5840.0 | -1.802e+01 |
|             5850.0 | -1.836e+01 |
|             5860.0 | -1.871e+01 |
|  5869.999999999999 | -1.906e+01 |
|             5880.0 | -1.941e+01 |
|             5890.0 | -1.977e+01 |
|             5900.0 | -2.013e+01 |
|             5910.0 | -2.049e+01 |
|             5920.0 | -2.086e+01 |
|             5930.0 | -2.122e+01 |
|  5939.999999999999 | -2.159e+01 |
|             5950.0 | -2.196e+01 |
|             5960.0 | -2.234e+01 |
|  5969.999999999999 | -2.272e+01 |
|             5980.0 | -2.310e+01 |
|             5990.0 | -2.348e+01 |
|             6000.0 | -2.387e+01 |
|  6009.999999999999 | -2.425e+01 |
|             6020.0 | -2.465e+01 |
|             6030.0 | -2.504e+01 |
|  6039.999999999999 | -2.544e+01 |
|             6050.0 | -2.584e+01 |
|             6060.0 | -2.624e+01 |
|             6070.0 | -2.664e+01 |
|             6080.0 | -2.705e+01 |
|             6090.0 | -2.746e+01 |
|             6100.0 | -2.788e+01 |
|  6109.999999999999 | -2.829e+01 |
|             6120.0 | -2.871e+01 |
|             6130.0 | -2.914e+01 |
|             6140.0 | -2.956e+01 |
|             6150.0 | -2.999e+01 |
|             6160.0 | -3.042e+01 |
|             6170.0 | -3.086e+01 |
|  6179.999999999999 | -3.129e+01 |
|             6190.0 | -3.173e+01 |
|             6200.0 | -3.217e+01 |
|  6209.999999999999 | -3.262e+01 |
|             6220.0 | -3.307e+01 |
|             6230.0 | -3.352e+01 |
|             6240.0 | -3.398e+01 |
|  6249.999999999999 | -3.443e+01 |
|             6260.0 | -3.489e+01 |
|             6270.0 | -3.536e+01 |
|  6279.999999999999 | -3.582e+01 |
|             6290.0 | -3.629e+01 |
|             6300.0 | -3.677e+01 |
|             6310.0 | -3.724e+01 |
|             6320.0 | -3.772e+01 |
|             6330.0 | -3.820e+01 |
|             6340.0 | -3.869e+01 |
|  6349.999999999999 | -3.917e+01 |
|             6360.0 | -3.967e+01 |
|             6370.0 | -4.016e+01 |
|  6379.999999999999 | -4.066e+01 |
|             6390.0 | -4.116e+01 |
